Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
101.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,4.0,0.0,4.0,",4",",7",",7",",196",0.784,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
102.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,8.0,0.0,8.0,",04",",14",",17",",000952",0.007616,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
103.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,200.0,0.0,200.0,",000212",1,1,",000212",0.0424,304,01.04.2021,239.0,Кабель для БС,0,4.0,2021.0
104.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
105.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,8.0,0.0,8.0,",1",",34",",34",",01156",0.09248,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
106.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8.0,0.0,8.0,1,1,",000448",",000448",0.003584,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
107.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,30.0,0.0,30.0,",1",",38",",58",",02204",0.6612,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
108.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,30.0,0.0,30.0,",1",",38",",58",",02204",0.6612,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
109.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,60.0,0.0,60.0,",38",",1",",23",",00874",0.5244,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
110.0,157.346.000096,Антенна РРЛ Huawei 80Ггц 0.2м HP Single (A80S02HAC),штука,24.0,0.0,24.0,",46",",23",",456",",0482448",1.1578752,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
111.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,26.0,0.0,26.0,",25",",46",",48",",0552",1.4352,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
112.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,10.0,0.0,10.0,",4",",7",",7",",196",1.96,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
113.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,120.0,0.0,120.0,",04",",14",",17",",000952",0.11424,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
114.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,3000.0,0.0,3000.0,",000212",1,1,",000212",0.636,304,01.04.2021,239.0,Кабель для БС,0,4.0,2021.0
115.0,244.022.000028,"Сборка Huawei кабельная медная 30м, RJ-45-RJ-45, Outdoor",штука,10.0,0.0,10.0,",35",",35",",05",",006125",0.06125,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
116.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,30.0,0.0,30.0,",1",",34",",34",",01156",0.3468,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
117.0,244.022.000030,"Сборка Huawei кабельная медная 75м, RJ-45-RJ-45, Outdoor",штука,10.0,0.0,10.0,",385",",355",",1",",0136675",0.136675,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
118.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,10.0,0.0,10.0,",08",",32",",32",",008192",0.08192,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
119.0,244.022.000032,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 30м, Outdoor (FDLCUPC03)",штука,20.0,0.0,20.0,",35",",35",",05",",006125",0.1225,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
120.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,60.0,0.0,60.0,",1",",34",",34",",01156",0.6936,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
121.0,244.022.000034,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 70м, Outdoor (FDLCUPC07)",штука,20.0,0.0,20.0,",375",",375",",35",",04921875",0.984375,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
122.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,20.0,0.0,20.0,",23",",38",",38",",033212",0.66424,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
123.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,24.0,0.0,24.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
124.0,161.346.000115,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB A, High",штука,22.0,0.0,22.0,",38",",28",",1",",01064",0.23408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
125.0,161.346.000116,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB A, Low",штука,22.0,0.0,22.0,",38",",28",",1",",01064",0.23408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
126.0,161.346.000117,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB B, High",штука,2.0,0.0,2.0,",28",",37",",11",",011396",0.022792,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
127.0,161.346.000118,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB B, Low",штука,2.0,0.0,2.0,",28",",37",",11",",011396",0.022792,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
128.0,157.346.000131,Антенна РРЛ Huawei 38ГГц 0.3м UHP Dual Polarization (A38D03MAC-3NX),штука,23.0,0.0,23.0,",2",",3",",3",,,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
129.0,157.346.000132,Антенна РРЛ Huawei 38ГГц 0.6м UHP Dual Polarization (A38D06MAC-3NX),штука,1.0,0.0,1.0,",3",",6",",6",",108",0.108,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
130.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,168.0,0.0,168.0,1,1,",000448",",000448",0.075264,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
131.0,181.022.000006,Разъем РРЛ Huawei N-type male для кабеля RG-8U (C0NMCON01),штука,20.0,0.0,20.0,",1",",05",",05",",00025",0.005,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
132.0,181.022.000005,"Кабель RF РРЛ Huawei 2м, TNC50AM-III, RG223/U, N50SF-V P 1.0 (CRF0RG223)",штука,20.0,0.0,20.0,1,",05",",05",,,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
133.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,2400.0,0.0,2400.0,",063",",062",",051",",000199174",0.4780176,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
134.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,4.0,0.0,4.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
135.0,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,2.0,0.0,2.0,",37",",37",",17",",023273",0.046546,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
136.0,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,2.0,0.0,2.0,",37",",37",",17",",023273",0.046546,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
137.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,8.0,0.0,8.0,",38",",23",",1",",00874",0.06992,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
138.0,157.346.000122,Антенна РРЛ Huawei 18Ггц 1.2м для XMC-5D UHP Dual Polarization (A18D12MDD-3NX),штука,4.0,0.0,4.0,"1,37",",38","1,54",",801724",3.206896,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
139.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8.0,0.0,8.0,1,1,",000448",",000448",0.003584,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
140.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,300.0,0.0,300.0,",063",",062",",051",",000199174",0.0597522,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
1.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,3.0,0.0,3.0,",1",",38",",58",",02204",0.06612,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
2.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,3.0,0.0,3.0,",1",",38",",58",",02204",0.06612,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
3.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,6.0,0.0,6.0,",38",",1",",23",",00874",0.05244,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
4.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,6.0,0.0,6.0,",25",",46",",48",",0552",0.3312,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
5.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,12.0,0.0,12.0,",04",",14",",17",",000952",0.011424,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
6.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,600.0,0.0,600.0,",000212",1,1,",000212",0.1272,702,31.03.2021,239.0,Кабель для БС,0,3.0,2021.0
7.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
8.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",08",",32",",32",",008192",0.016384,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
9.0,244.022.000032,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 30м, Outdoor (FDLCUPC03)",штука,1.0,0.0,1.0,",35",",35",",05",",006125",0.006125,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
10.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,8.0,0.0,8.0,",1",",34",",34",",01156",0.09248,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
11.0,244.022.000034,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 70м, Outdoor (FDLCUPC07)",штука,1.0,0.0,1.0,",375",",375",",35",",04921875",0.04921875,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
12.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,4.0,0.0,4.0,",23",",38",",38",",033212",0.132848,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
13.0,160.346.000039,"Блок внутренний IDU Huawei RTN 320, Full Outdoor, 1+0, Конфигурации 1A (IP)",штука,2.0,0.0,2.0,",59",",39",",27",",062127",0.124254,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
14.0,161.346.000111,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, High",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
15.0,161.346.000112,"Радиоблок внешний ODU Huawei RTN XMC-3 18ГГц, 1010МГц, SB A, Low",штука,1.0,0.0,1.0,",28",",35",",11",",01078",0.01078,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
16.0,157.346.000104,Антенна РРЛ Huawei 18Ггц 0.6м UHP Single (A18S06MAC-3NX),штука,1.0,0.0,1.0,",79",",7",",35",",19355",0.19355,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
17.0,157.346.000105,Антенна РРЛ Huawei 18Ггц 1.2м UHP Single (A18S12MAC-3NX),штука,1.0,0.0,1.0,"1,4",",38","1,55",",8246",0.8246,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
18.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,16.0,0.0,16.0,1,1,",000448",",000448",0.007168,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
19.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
20.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
21.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,4.0,0.0,4.0,",38",",1",",23",",00874",0.03496,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
22.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,4.0,0.0,4.0,",4",",7",",7",",196",0.784,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
23.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,8.0,0.0,8.0,",04",",14",",17",",000952",0.007616,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
24.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,400.0,0.0,400.0,",000212",1,1,",000212",0.0848,702,31.03.2021,239.0,Кабель для БС,0,3.0,2021.0
25.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",1",",34",",34",",01156",0.02312,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
26.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",08",",32",",32",",008192",0.016384,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
27.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
28.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,2.0,0.0,2.0,",23",",38",",38",",033212",0.066424,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
29.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8.0,0.0,8.0,1,1,",000448",",000448",0.003584,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
30.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,1.0,0.0,1.0,",1",",38",",58",",02204",0.02204,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
31.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,1.0,0.0,1.0,",1",",38",",58",",02204",0.02204,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
32.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,2.0,0.0,2.0,",38",",1",",23",",00874",0.01748,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
33.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,2.0,0.0,2.0,",4",",7",",7",",196",0.392,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
34.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,4.0,0.0,4.0,",04",",14",",17",",000952",0.003808,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
35.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,100.0,0.0,100.0,",000212",1,1,",000212",0.0212,702,31.03.2021,239.0,Кабель для БС,0,3.0,2021.0
36.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",1",",34",",34",",01156",0.02312,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
37.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
38.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
39.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,1.0,0.0,1.0,",1",",38",",58",",02204",0.02204,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
40.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,1.0,0.0,1.0,",1",",38",",58",",02204",0.02204,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
41.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,2.0,0.0,2.0,",38",",1",",23",",00874",0.01748,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
42.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,2.0,0.0,2.0,",25",",46",",48",",0552",0.1104,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
43.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,4.0,0.0,4.0,",04",",14",",17",",000952",0.003808,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
44.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,100.0,0.0,100.0,",000212",1,1,",000212",0.0212,702,31.03.2021,239.0,Кабель для БС,0,3.0,2021.0
45.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",1",",34",",34",",01156",0.02312,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
46.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
47.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,6.0,0.0,6.0,",1",",38",",58",",02204",0.13224,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
48.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,6.0,0.0,6.0,",1",",38",",58",",02204",0.13224,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
49.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,12.0,0.0,12.0,",38",",1",",23",",00874",0.10488,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
50.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,8.0,0.0,8.0,",25",",46",",48",",0552",0.4416,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
51.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,4.0,0.0,4.0,",4",",7",",7",",196",0.784,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
52.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,24.0,0.0,24.0,",04",",14",",17",",000952",0.022848,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
